
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1902"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1903"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1904"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1905"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1906"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1907"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1908"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1909"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1910"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1911"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1912"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1913"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1914"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1915"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1916"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1917"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1918"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1919"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1920"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1921"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1922"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1923"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1924"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1925"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1926"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1927"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1928"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1929"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1930"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1931"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
"1932"	"12.232"	"13.175"	"13.596"	"12.805"	"11.721"	"9.007"	"8.141"	"8.272"	"9.291"	"9.151"	"9.69"	"10.728"
