
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"0.091"	"0.0183"	"0.01"	"0"	"0.0022"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2802"
"1902"	"0.7663"	"0.0667"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0066"
"1903"	"0.2149"	"0.0183"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.01"	"0.2451"
"1904"	"1.157"	"0.087"	"0.0083"	"0"	"0.0017"	"0.0035"	"0"	"0"	"0"	"0"	"0.004"	"0.2392"
"1905"	"0.8579"	"0.0176"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2186"
"1906"	"0.0933"	"0.0066"	"0.0017"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1335"
"1907"	"0.8814"	"0.0403"	"0"	"0.01"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1431"
"1908"	"0.2984"	"0.0345"	"0.01"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0015"	"0.2858"
"1909"	"0.5884"	"0.0337"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1115"
"1910"	"0.2311"	"0.033"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0093"	"0"	"0.0005"	"0.2717"
"1911"	"0.4894"	"0.1003"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0924"
"1912"	"0.9908"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2245"
"1913"	"1.1593"	"0.022"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0037"
"1914"	"0.8679"	"0.0249"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0007"
"1915"	"0.2266"	"0.0132"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2025"
"1916"	"0.8495"	"0.0293"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2684"
"1917"	"0.885"	"0.0579"	"0.01"	"0"	"0"	"0.01"	"0"	"0"	"0"	"0"	"0"	"0.2568"
"1918"	"1.0554"	"0.1098"	"0.01"	"0"	"0.01"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0968"
"1919"	"0"	"0.0044"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1174"
"1920"	"0.7248"	"0.0169"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2003"
"1921"	"0.1914"	"0.0447"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0042"	"0.2193"
"1922"	"0.7263"	"0.055"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.3211"
"1923"	"1.1647"	"0.055"	"0.01"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1099"
"1924"	"0.518"	"0.0132"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0005"	"0.2179"
"1925"	"0.8685"	"0.0572"	"0.0022"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2069"
"1926"	"0.2384"	"0.0264"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1048"
"1927"	"0.2091"	"0.0139"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.052"
"1928"	"0.2275"	"0.0271"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1453"
"1929"	"0.3232"	"0.0315"	"0"	"0.01"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0388"
"1930"	"0.3088"	"0.0381"	"0"	"0"	"0.0007"	"0"	"0"	"0"	"0"	"0"	"0"	"0.033"
"1931"	"0.4518"	"0.0235"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1607"
"1932"	"1.1471"	"0.0433"	"0.01"	"0"	"0.0058"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1769"
"1933"	"0.4188"	"0.0257"	"0.0083"	"0"	"0.01"	"0.0083"	"0"	"0"	"0"	"0"	"0"	"0.2193"
"1934"	"0.7912"	"0.0738"	"0.0078"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.01"	"0.3328"
"1935"	"0.2455"	"0.0257"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0047"	"0.1349"
"1936"	"0.1049"	"0.0191"	"0.01"	"0"	"0"	"0.01"	"0"	"0"	"0"	"0"	"0"	"0.0037"
"1937"	"0.6364"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1769"
"1938"	"0.2024"	"0.0103"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1871"
"1939"	"0.8502"	"0.0689"	"0.0078"	"0.0007"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2267"
"1940"	"1.2407"	"0.0557"	"0"	"0.0058"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0997"
"1941"	"0.22"	"0.0139"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0491"
"1942"	"0.2714"	"0.0154"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0125"
"1943"	"0.2414"	"0.0662"	"0"	"0"	"0.01"	"0.01"	"0"	"0"	"0.01"	"0.01"	"0"	"0.1607"
"1944"	"0.2134"	"0.0308"	"0.01"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1769"
"1945"	"0.8483"	"0.0103"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1703"
"1946"	"1.1638"	"0.0484"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1394"
"1947"	"0.1936"	"0.055"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1158"
"1948"	"0.2295"	"0.0132"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1688"
"1949"	"0.8414"	"0.0352"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2208"
"1950"	"0.8517"	"0.0352"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.004"	"0.2311"
"1951"	"0.4113"	"0.0638"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1813"
"1952"	"0.2215"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.014"
"1953"	"0.2353"	"0.0374"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1842"
"1954"	"0.2193"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.01"	"0.0476"
"1955"	"0.2053"	"0.0059"	"0"	"0"	"0.01"	"0"	"0"	"0.01"	"0"	"0"	"0.004"	"0.291"
"1956"	"0.8385"	"0.0425"	"0"	"0"	"0.0025"	"0"	"0.01"	"0"	"0"	"0"	"0"	"0.1644"
"1957"	"0.7404"	"0.0235"	"0.01"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0044"
"1958"	"0.2186"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0059"
"1959"	"0.0234"	"0"	"0"	"0"	"0"	"0"	"0.0022"	"0"	"0"	"0"	"0"	"0.0498"
"1960"	"0.0477"	"0.0191"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0521"
"1961"	"0.22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0352"
"1962"	"0.5389"	"0.0213"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0088"
"1963"	"0.3964"	"0.056"	"0"	"0.0085"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0066"
"1964"	"0.3612"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.01"	"0.1571"
"1965"	"0.5922"	"0.033"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1966"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0696"
"1967"	"0.5432"	"0.055"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0015"
"1968"	"0.9785"	"0.0213"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.063"
"1969"	"0.2991"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0909"
"1970"	"0.1944"	"0.0213"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2672"
"1971"	"0.3412"	"0.0205"	"0"	"0"	"0"	"0.0095"	"0"	"0"	"0"	"0"	"0"	"0.2538"
"1972"	"1.0138"	"0.0279"	"0"	"0"	"0.0058"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1973"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1703"
"1974"	"0.942"	"0.0403"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0053"	"0"	"0.1901"
"1975"	"0.8851"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.01"	"0.2677"
"1976"	"1.4246"	"0.0645"	"0"	"0.0088"	"0"	"0"	"0"	"0.0007"	"0"	"0"	"0"	"0"
"1977"	"0.3485"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0872"
"1978"	"0.1805"	"0.0015"	"0"	"0"	"0"	"0.01"	"0"	"0"	"0"	"0"	"0"	"0.0073"
"1979"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1980"	"0.2244"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1981"	"0.1629"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0025"	"0"	"0"	"0"	"0.077"
"1982"	"0.2215"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0066"
"1983"	"0.2127"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0059"
