
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"29.239"	"30.874"	"32.229"	"34.188"	"32.216"	"29.278"	"28.073"	"28.306"	"29.786"	"28.888"	"27.975"	"26.391"
"1902"	"27.732"	"29.561"	"33.054"	"33.87"	"33.005"	"30.022"	"28.532"	"29.169"	"28.628"	"28.344"	"27.673"	"27.574"
"1903"	"28.443"	"30.6"	"33.382"	"34.212"	"32.586"	"29.675"	"28.106"	"28.109"	"28.613"	"28.173"	"26.576"	"26.116"
"1904"	"27.129"	"29.253"	"32.464"	"33.937"	"31.767"	"28.257"	"27.38"	"28.185"	"29.097"	"28.772"	"27.098"	"26.51"
"1905"	"27.885"	"30.789"	"32.926"	"33.405"	"32.751"	"29.816"	"28.556"	"28.596"	"29.165"	"28.593"	"27.914"	"26.761"
"1906"	"29.08"	"31.312"	"32.329"	"35.27"	"34.139"	"29.549"	"28.124"	"28.069"	"28.03"	"28.481"	"27.975"	"27.076"
"1907"	"27.676"	"30.371"	"32.646"	"33.255"	"32.44"	"29.079"	"28.081"	"27.527"	"29.208"	"28.979"	"27.826"	"27.137"
"1908"	"28.12"	"29.921"	"32.04"	"34.648"	"32.464"	"29.865"	"27.441"	"27.99"	"29.038"	"28.922"	"27.403"	"26.695"
"1909"	"28.216"	"30.491"	"33.242"	"33.545"	"32.065"	"29.44"	"27.659"	"28.362"	"28.328"	"28.818"	"28.418"	"27.941"
"1910"	"28.227"	"30.209"	"33.206"	"34.475"	"33.332"	"29.49"	"28.374"	"27.734"	"27.877"	"28.282"	"26.579"	"26.038"
"1911"	"28.129"	"28.776"	"32.666"	"33.95"	"32.575"	"29.336"	"27.791"	"28.14"	"29.7"	"28.568"	"28.034"	"27.379"
"1912"	"27.585"	"31.337"	"33.466"	"34.486"	"33.944"	"29.577"	"27.937"	"28.195"	"29.111"	"28.346"	"27.222"	"26.318"
"1913"	"27.121"	"30.51"	"33.202"	"34.639"	"33.222"	"29.459"	"27.632"	"28.38"	"29.786"	"28.324"	"27.605"	"27.832"
"1914"	"27.326"	"30.853"	"33.382"	"33.972"	"33.322"	"30.454"	"28.073"	"28.129"	"29.415"	"28.598"	"27.894"	"27.995"
"1915"	"28.598"	"30.99"	"32.794"	"34.195"	"33.131"	"29.951"	"28.621"	"29.152"	"29.331"	"29.165"	"28.026"	"26.458"
"1916"	"27.266"	"30.565"	"33.173"	"34.665"	"32.681"	"28.52"	"28.342"	"27.932"	"28.669"	"28.472"	"27.426"	"26.251"
"1917"	"27.128"	"29.346"	"31.989"	"33.752"	"31.996"	"28.367"	"28.613"	"28.252"	"28.56"	"27.748"	"27.826"	"26.816"
"1918"	"27.32"	"28.852"	"31.621"	"33.647"	"31.267"	"29.028"	"28.924"	"28.541"	"29.164"	"29.656"	"28.817"	"27.436"
"1919"	"29.161"	"31.171"	"32.936"	"34.849"	"32.509"	"29.083"	"28.274"	"28.357"	"29.206"	"28.941"	"27.873"	"27.394"
"1920"	"27.626"	"30.767"	"33.427"	"33.91"	"33.243"	"29.623"	"28.328"	"28.486"	"29.172"	"28.945"	"27.9"	"26.727"
"1921"	"28.821"	"30.054"	"33.37"	"33.435"	"33.608"	"29.529"	"28.228"	"28.375"	"28.388"	"28.413"	"26.922"	"26.557"
"1922"	"28.275"	"29.829"	"33.39"	"34.339"	"32.505"	"29.343"	"27.902"	"28.351"	"29.076"	"28.285"	"27.582"	"26.074"
"1923"	"26.942"	"29.528"	"31.734"	"33.453"	"32.52"	"30.055"	"27.477"	"28.233"	"28.535"	"28.549"	"28.062"	"27.366"
"1924"	"28.049"	"30.805"	"32.722"	"34.855"	"33.488"	"29.403"	"27.989"	"28.534"	"28.776"	"28.559"	"27.183"	"26.358"
"1925"	"28.12"	"29.868"	"32.461"	"34.424"	"32.08"	"29.501"	"28.18"	"28.337"	"29.388"	"28.227"	"27.16"	"26.477"
"1926"	"28.348"	"30.33"	"33.342"	"33.727"	"33.482"	"30.578"	"29.293"	"28.797"	"29.028"	"28.593"	"27.568"	"27.24"
"1927"	"28.824"	"31.006"	"33.826"	"34.906"	"33.14"	"29.494"	"27.819"	"28.683"	"29.123"	"28.423"	"26.978"	"27.275"
"1928"	"28.494"	"30.314"	"32.533"	"34.396"	"33.79"	"29.922"	"28.357"	"28.228"	"29.55"	"28.388"	"27.486"	"26.57"
"1929"	"28.609"	"30.354"	"32.433"	"33.173"	"32.627"	"29.307"	"28.433"	"29.049"	"29.623"	"28.487"	"27.549"	"27.505"
"1930"	"28.423"	"30.001"	"32.686"	"34.039"	"32.06"	"29.68"	"28.25"	"28.458"	"29.3"	"28.415"	"27.396"	"27.395"
"1931"	"28.146"	"30.45"	"33.402"	"34.803"	"33.88"	"30.012"	"28.507"	"28.775"	"28.891"	"29.04"	"27.775"	"26.952"
"1932"	"27.07"	"29.992"	"31.992"	"34.452"	"32.228"	"29.357"	"27.817"	"28.753"	"28.713"	"28.781"	"27.804"	"26.873"
"1933"	"27.878"	"30.522"	"32.448"	"34.015"	"31.699"	"28.382"	"27.627"	"27.976"	"28.473"	"27.872"	"27.982"	"26.681"
"1934"	"27.985"	"29.573"	"32.25"	"33.918"	"33.164"	"29.539"	"28.258"	"28.089"	"29.726"	"29.029"	"26.704"	"26.181"
"1935"	"28.31"	"30.547"	"32.98"	"33.876"	"33.598"	"29.738"	"27.717"	"27.934"	"28.416"	"28.587"	"26.756"	"27.19"
"1936"	"28.756"	"30.877"	"32.364"	"34.311"	"32.897"	"28.164"	"27.742"	"27.819"	"29.136"	"28.587"	"27.701"	"27.631"
"1937"	"28.022"	"31.083"	"33.276"	"33.512"	"32.861"	"29.356"	"27.589"	"28.629"	"29.313"	"28.366"	"27.244"	"26.853"
"1938"	"28.387"	"31.215"	"33.466"	"34.325"	"33.113"	"28.632"	"27.659"	"27.718"	"28.492"	"27.805"	"27.254"	"27.231"
"1939"	"27.568"	"29.647"	"32.343"	"33.554"	"33.042"	"29.395"	"27.297"	"27.97"	"28.663"	"28.689"	"27.175"	"26.494"
"1940"	"26.907"	"29.846"	"32.988"	"33.426"	"32.639"	"29.222"	"27.681"	"27.948"	"29.121"	"28.774"	"27.321"	"27.034"
"1941"	"28.474"	"30.354"	"33.724"	"34.691"	"33.251"	"29.144"	"28.67"	"28.69"	"28.84"	"28.829"	"28.045"	"27.28"
"1942"	"28.059"	"30.525"	"33.059"	"34.421"	"33.582"	"29.621"	"27.991"	"27.986"	"28.966"	"28.755"	"27.325"	"27.652"
"1943"	"28.408"	"29.756"	"33.258"	"33.512"	"31.821"	"28.506"	"27.324"	"28.212"	"27.957"	"27.424"	"27.605"	"26.552"
