
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"17.002"	"17.678"	"18.61"	"21.35"	"20.494"	"20.221"	"19.933"	"20.033"	"20.479"	"19.738"	"18.283"	"15.662"
"1902"	"15.497"	"16.35"	"19.458"	"21.066"	"21.249"	"21.014"	"20.39"	"20.897"	"19.3"	"19.194"	"17.982"	"16.844"
"1903"	"16.212"	"17.424"	"19.782"	"21.373"	"20.831"	"20.611"	"19.947"	"19.838"	"19.286"	"19.021"	"16.849"	"15.388"
"1904"	"14.897"	"16.022"	"18.812"	"21.079"	"20.047"	"19.197"	"19.239"	"19.913"	"19.785"	"19.619"	"17.351"	"15.782"
"1905"	"15.655"	"17.585"	"19.289"	"20.564"	"21.031"	"20.757"	"20.414"	"20.324"	"19.832"	"19.443"	"18.221"	"16.031"
"1906"	"16.848"	"18.11"	"18.68"	"22.429"	"22.419"	"20.521"	"19.984"	"19.789"	"18.737"	"19.311"	"18.283"	"16.346"
"1907"	"15.439"	"17.188"	"19.051"	"20.415"	"20.682"	"20.037"	"19.94"	"19.245"	"19.917"	"19.81"	"18.135"	"16.371"
"1908"	"15.89"	"16.737"	"18.445"	"21.787"	"20.707"	"20.835"	"19.298"	"19.709"	"19.727"	"19.753"	"17.712"	"15.965"
"1909"	"15.942"	"17.278"	"19.596"	"20.72"	"20.309"	"20.427"	"19.497"	"20.09"	"19.018"	"19.667"	"18.727"	"17.211"
"1910"	"15.954"	"16.978"	"19.591"	"21.655"	"21.611"	"20.465"	"20.232"	"19.463"	"18.567"	"19.132"	"16.851"	"15.31"
"1911"	"15.898"	"15.574"	"19.053"	"21.093"	"20.821"	"20.328"	"19.629"	"19.869"	"20.41"	"19.396"	"18.336"	"16.649"
"1912"	"15.318"	"18.155"	"19.813"	"21.647"	"22.186"	"20.532"	"19.795"	"19.924"	"19.784"	"19.195"	"17.523"	"15.581"
"1913"	"14.89"	"17.299"	"19.555"	"21.778"	"21.502"	"20.434"	"19.49"	"20.107"	"20.479"	"19.174"	"17.858"	"17.1"
"1914"	"15.095"	"17.669"	"19.787"	"21.132"	"21.602"	"21.448"	"19.933"	"19.858"	"20.125"	"19.447"	"18.202"	"17.265"
