
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.96"	"6.7"	"7.38"	"7.55"	"7.18"	"5.87"	"5.32"	"5.45"	"5.8"	"5.46"	"5.31"	"5.28"
"1902"	"5.84"	"6.58"	"7.4"	"7.52"	"7.2"	"5.9"	"5.35"	"5.54"	"5.78"	"5.42"	"5.25"	"5.33"
"1903"	"5.88"	"6.63"	"7.43"	"7.59"	"7.19"	"5.91"	"5.35"	"5.46"	"5.74"	"5.42"	"5.24"	"5.24"
"1904"	"5.79"	"6.56"	"7.36"	"7.55"	"7.16"	"5.82"	"5.26"	"5.43"	"5.76"	"5.46"	"5.27"	"5.27"
"1905"	"5.81"	"6.66"	"7.44"	"7.52"	"7.18"	"5.91"	"5.36"	"5.47"	"5.78"	"5.43"	"5.29"	"5.27"
"1906"	"5.87"	"6.73"	"7.38"	"7.56"	"7.31"	"5.93"	"5.35"	"5.47"	"5.69"	"5.4"	"5.27"	"5.33"
"1907"	"5.84"	"6.62"	"7.41"	"7.51"	"7.18"	"5.87"	"5.35"	"5.41"	"5.73"	"5.46"	"5.29"	"5.3"
"1908"	"5.86"	"6.62"	"7.32"	"7.57"	"7.19"	"5.91"	"5.31"	"5.42"	"5.74"	"5.46"	"5.27"	"5.27"
"1909"	"5.85"	"6.63"	"7.44"	"7.54"	"7.16"	"5.87"	"5.3"	"5.47"	"5.72"	"5.41"	"5.29"	"5.37"
"1910"	"5.89"	"6.62"	"7.41"	"7.55"	"7.24"	"5.9"	"5.36"	"5.46"	"5.68"	"5.42"	"5.24"	"5.23"
"1911"	"5.87"	"6.54"	"7.35"	"7.54"	"7.19"	"5.87"	"5.32"	"5.42"	"5.8"	"5.44"	"5.29"	"5.35"
"1912"	"5.8"	"6.66"	"7.45"	"7.55"	"7.29"	"5.92"	"5.34"	"5.45"	"5.78"	"5.43"	"5.25"	"5.27"
"1913"	"5.78"	"6.61"	"7.42"	"7.59"	"7.24"	"5.9"	"5.3"	"5.43"	"5.83"	"5.43"	"5.25"	"5.36"
"1914"	"5.81"	"6.62"	"7.43"	"7.52"	"7.2"	"5.95"	"5.36"	"5.44"	"5.76"	"5.44"	"5.25"	"5.35"
"1915"	"5.9"	"6.69"	"7.4"	"7.53"	"7.21"	"5.9"	"5.35"	"5.5"	"5.77"	"5.46"	"5.33"	"5.28"
"1916"	"5.78"	"6.6"	"7.41"	"7.6"	"7.23"	"5.83"	"5.33"	"5.46"	"5.74"	"5.43"	"5.27"	"5.27"
"1917"	"5.79"	"6.57"	"7.33"	"7.53"	"7.19"	"5.82"	"5.34"	"5.47"	"5.75"	"5.37"	"5.26"	"5.32"
"1918"	"5.84"	"6.54"	"7.3"	"7.53"	"7.11"	"5.8"	"5.37"	"5.49"	"5.74"	"5.46"	"5.35"	"5.34"
