
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.751"	"17.962"	"1.671"	"32.943"	"152.546"	"51.988"	"61.298"	"43.09"	"202.802"	"162.43"	"75.6"	"31.115"
"1902"	"3.18"	"0.147"	"10.39"	"64.579"	"131.825"	"67.362"	"58.874"	"90.433"	"126.47"	"266.22"	"33.664"	"32.282"
"1903"	"0.029"	"0.044"	"0"	"6.838"	"120.036"	"106.502"	"61.679"	"131.82"	"290.515"	"209.098"	"254.86"	"25.777"
"1904"	"1.789"	"0"	"1.008"	"33.679"	"260.981"	"47.495"	"126.609"	"37.193"	"90.018"	"170.96"	"1.36"	"1.563"
"1905"	"5.287"	"1.564"	"32.979"	"32.857"	"105.738"	"61.883"	"48.123"	"157.774"	"34.511"	"191.473"	"33.501"	"1.581"
"1906"	"8.758"	"8.955"	"10.297"	"2.88"	"37.661"	"93.893"	"119.525"	"243.252"	"128.392"	"185.76"	"31.089"	"38.031"
"1907"	"14.645"	"0"	"23.216"	"129.049"	"60.491"	"102.468"	"152.521"	"60.127"	"135.441"	"40.744"	"51.773"	"13.043"
"1908"	"9.443"	"2.543"	"14.343"	"22.957"	"150.056"	"48.616"	"80.896"	"39.517"	"85.67"	"69.615"	"2.586"	"2.49"
"1909"	"13.974"	"0.095"	"0.854"	"113.594"	"218.051"	"34.684"	"53.705"	"208.834"	"99.565"	"179.679"	"20.895"	"4.192"
"1910"	"0"	"1.03"	"1.537"	"13.959"	"56.882"	"79.855"	"208.349"	"188.479"	"84.887"	"244.043"	"125.194"	"0.217"
"1911"	"0.059"	"0.073"	"29.942"	"38.888"	"122.637"	"77.826"	"117.393"	"25.769"	"25.488"	"236.393"	"40.549"	"15.032"
"1912"	"3.011"	"1.878"	"20.447"	"8.425"	"75.317"	"101.183"	"93.33"	"89.829"	"237.185"	"168.075"	"58.049"	"0.232"
"1913"	"0"	"0"	"1.51"	"7.302"	"103.201"	"69.425"	"116.195"	"33.726"	"157.194"	"73.137"	"8.324"	"8.083"
"1914"	"0.823"	"1.364"	"1.204"	"77.379"	"84.179"	"40.129"	"86.574"	"84.648"	"69.266"	"163.06"	"72.124"	"13.118"
"1915"	"6.882"	"0.547"	"45.859"	"40.364"	"109.766"	"167.681"	"94.662"	"38.857"	"134.396"	"86.442"	"94.094"	"6.503"
"1916"	"0"	"0.059"	"0"	"19.776"	"200.295"	"45.518"	"234.102"	"195.805"	"101.063"	"183.601"	"254.562"	"4.774"
"1917"	"0.531"	"16.915"	"3.666"	"33.24"	"108.03"	"96.66"	"47.493"	"165.651"	"185.83"	"131.138"	"69"	"3.885"
"1918"	"12.779"	"2.811"	"30.534"	"40.081"	"176.127"	"34.507"	"21.041"	"72.412"	"100.229"	"24.023"	"138.527"	"30.695"
"1919"	"14.236"	"0"	"3.278"	"53.378"	"186.873"	"84.681"	"98.861"	"56.534"	"188.946"	"75.596"	"166.985"	"22.682"
"1920"	"10.383"	"0.193"	"2.849"	"37.435"	"71.834"	"79.228"	"38.735"	"86.36"	"125.331"	"77.859"	"61.693"	"0.217"
"1921"	"16.648"	"0"	"0.128"	"108.952"	"77.875"	"81.467"	"102.337"	"119.931"	"57.913"	"154.382"	"93.817"	"0.617"
"1922"	"8.069"	"2.089"	"0"	"22.372"	"137.904"	"67.695"	"64.814"	"62.909"	"35.667"	"237.148"	"179.234"	"4.387"
"1923"	"11.496"	"0.084"	"39.238"	"70.625"	"90.377"	"59.502"	"89.275"	"47.92"	"118.908"	"52.539"	"5.112"	"3.426"
"1924"	"0.981"	"0.402"	"1.152"	"39.521"	"98.727"	"105.326"	"111.312"	"115.798"	"106.742"	"50.257"	"50.264"	"2.969"
"1925"	"0.601"	"0.264"	"9.494"	"81.912"	"220.024"	"31.297"	"82.435"	"76.162"	"103.169"	"57.642"	"62.854"	"42.453"
"1926"	"10.926"	"0"	"13.737"	"118.635"	"59.406"	"58.796"	"72.835"	"50.885"	"163.218"	"119.051"	"3.938"	"2.615"
"1927"	"0"	"5.427"	"1.614"	"14.213"	"110.519"	"89.337"	"83.03"	"52.997"	"151.574"	"27.727"	"43.132"	"0.893"
"1928"	"0.44"	"24.002"	"7.898"	"39.845"	"63.795"	"86.992"	"131.268"	"120.605"	"30.133"	"360.27"	"46.504"	"10.407"
"1929"	"4.241"	"15.435"	"0.277"	"156.92"	"109.433"	"45.618"	"48.685"	"31.461"	"102.722"	"152.303"	"99.289"	"10.192"
"1930"	"9.747"	"21.306"	"9.803"	"38.471"	"220.267"	"54.466"	"86.659"	"29.908"	"173.359"	"260.411"	"54.075"	"16.466"
"1931"	"0.029"	"0"	"1.236"	"24.954"	"113.715"	"56.217"	"75.242"	"38.966"	"186.126"	"45.38"	"70.378"	"25.692"
"1932"	"0"	"27.492"	"0.493"	"12.852"	"149.684"	"59.043"	"83.913"	"140.35"	"66.639"	"260.178"	"128.593"	"7.203"
"1933"	"0.117"	"4.318"	"21.251"	"39.215"	"257.359"	"44.466"	"138.689"	"188.064"	"96.383"	"233.227"	"6.524"	"60.094"
"1934"	"7.706"	"0"	"3.74"	"98.231"	"76.753"	"87.611"	"39.034"	"47.874"	"20.036"	"239.056"	"38.819"	"3.217"
"1935"	"4.033"	"14.107"	"3.072"	"46.476"	"58.377"	"155.519"	"60.304"	"235.448"	"64.382"	"231.859"	"15.049"	"12.362"
"1936"	"0"	"9.343"	"31.024"	"17.306"	"180.812"	"80.271"	"121.278"	"51.786"	"142.69"	"86.414"	"97.413"	"3.079"
"1937"	"0.653"	"21.202"	"38.851"	"156.333"	"134.125"	"84.56"	"70.695"	"64.817"	"84.77"	"95.645"	"43.569"	"12.633"
"1938"	"0"	"1.374"	"7.354"	"33.147"	"75.274"	"48.645"	"109.32"	"223.995"	"125.728"	"23.142"	"9.201"	"1.754"
"1939"	"9.488"	"0"	"19.498"	"151.764"	"50.464"	"83.391"	"54.539"	"92.541"	"112.347"	"219.322"	"83.32"	"0.254"
"1940"	"0"	"0.419"	"5.557"	"70.528"	"216.164"	"122.365"	"48.719"	"63.24"	"75.181"	"163.69"	"198.821"	"20.555"
"1941"	"4.207"	"9.919"	"0"	"63.759"	"99.626"	"94.848"	"71.897"	"72.256"	"124.447"	"136.585"	"37.004"	"79.298"
"1942"	"0"	"7.282"	"0"	"40.717"	"110.011"	"90.001"	"55.172"	"105.736"	"94.277"	"88.847"	"110.944"	"30.992"
"1943"	"13.498"	"0.948"	"1.843"	"95.714"	"212.792"	"50.164"	"107.228"	"62.395"	"94.496"	"360.945"	"66.25"	"0.782"
"1944"	"0.815"	"15.66"	"57.098"	"36.791"	"88.141"	"90.378"	"115.095"	"94.118"	"129.802"	"168.376"	"69.749"	"11.276"
"1945"	"0"	"0.073"	"0"	"32.462"	"138.873"	"21.072"	"117.156"	"83.986"	"66.01"	"66.241"	"29.392"	"0.217"
"1946"	"1.574"	"0.428"	"26.524"	"38.749"	"151.196"	"25.529"	"95.338"	"109.516"	"156.105"	"124.199"	"201.347"	"52.969"
"1947"	"4.182"	"8.666"	"4.004"	"19.115"	"72.986"	"79.045"	"109.055"	"146.2"	"81.32"	"182.16"	"15.963"	"5.409"
"1948"	"6.993"	"0"	"1.502"	"45.756"	"233.237"	"98.468"	"113.123"	"143.907"	"40.774"	"129.072"	"74.209"	"5.878"
"1949"	"0"	"4.152"	"2.963"	"33.717"	"60.179"	"92.863"	"211.497"	"127.279"	"84.68"	"224.554"	"6.128"	"0.217"
