
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.99"	"4.69"	"5.41"	"5.86"	"5.53"	"4.67"	"4.36"	"4.39"	"4.59"	"4.1"	"3.67"	"3.44"
"1902"	"3.84"	"4.54"	"5.53"	"5.83"	"5.63"	"4.73"	"4.41"	"4.49"	"4.45"	"4.04"	"3.66"	"3.54"
"1903"	"3.91"	"4.67"	"5.55"	"5.87"	"5.58"	"4.72"	"4.37"	"4.37"	"4.45"	"4.03"	"3.56"	"3.41"
"1904"	"3.79"	"4.52"	"5.45"	"5.86"	"5.46"	"4.57"	"4.29"	"4.38"	"4.5"	"4.08"	"3.61"	"3.45"
"1905"	"3.84"	"4.68"	"5.49"	"5.78"	"5.58"	"4.73"	"4.41"	"4.41"	"4.51"	"4.07"	"3.67"	"3.46"
"1906"	"3.97"	"4.75"	"5.43"	"6"	"5.77"	"4.69"	"4.36"	"4.38"	"4.4"	"4.05"	"3.67"	"3.5"
"1907"	"3.84"	"4.65"	"5.47"	"5.75"	"5.56"	"4.64"	"4.36"	"4.31"	"4.51"	"4.1"	"3.67"	"3.51"
"1908"	"3.86"	"4.59"	"5.39"	"5.94"	"5.56"	"4.73"	"4.29"	"4.36"	"4.49"	"4.1"	"3.62"	"3.46"
"1909"	"3.89"	"4.66"	"5.55"	"5.79"	"5.52"	"4.68"	"4.31"	"4.39"	"4.43"	"4.09"	"3.72"	"3.57"
"1910"	"3.89"	"4.62"	"5.53"	"5.91"	"5.65"	"4.68"	"4.4"	"4.32"	"4.37"	"4.03"	"3.56"	"3.41"
"1911"	"3.86"	"4.48"	"5.47"	"5.86"	"5.57"	"4.67"	"4.33"	"4.37"	"4.57"	"4.07"	"3.67"	"3.52"
"1912"	"3.84"	"4.74"	"5.58"	"5.91"	"5.74"	"4.7"	"4.34"	"4.38"	"4.5"	"4.04"	"3.62"	"3.43"
"1913"	"3.79"	"4.66"	"5.55"	"5.93"	"5.64"	"4.68"	"4.3"	"4.39"	"4.59"	"4.03"	"3.67"	"3.57"
"1914"	"3.8"	"4.68"	"5.55"	"5.85"	"5.65"	"4.78"	"4.36"	"4.37"	"4.53"	"4.07"	"3.67"	"3.58"
"1915"	"3.93"	"4.73"	"5.48"	"5.86"	"5.64"	"4.72"	"4.42"	"4.48"	"4.53"	"4.11"	"3.67"	"3.44"
"1916"	"3.8"	"4.66"	"5.53"	"5.94"	"5.58"	"4.58"	"4.4"	"4.35"	"4.45"	"4.05"	"3.62"	"3.43"
"1917"	"3.79"	"4.52"	"5.39"	"5.82"	"5.5"	"4.58"	"4.42"	"4.38"	"4.45"	"3.98"	"3.67"	"3.46"
"1918"	"3.8"	"4.48"	"5.34"	"5.8"	"5.41"	"4.63"	"4.44"	"4.4"	"4.5"	"4.17"	"3.76"	"3.53"
"1919"	"3.98"	"4.74"	"5.5"	"5.96"	"5.57"	"4.65"	"4.38"	"4.39"	"4.5"	"4.1"	"3.67"	"3.53"
"1920"	"3.84"	"4.68"	"5.56"	"5.85"	"5.65"	"4.71"	"4.38"	"4.39"	"4.5"	"4.1"	"3.67"	"3.46"
"1921"	"3.95"	"4.61"	"5.55"	"5.78"	"5.69"	"4.68"	"4.36"	"4.39"	"4.43"	"4.05"	"3.59"	"3.46"
"1922"	"3.9"	"4.57"	"5.56"	"5.87"	"5.57"	"4.67"	"4.34"	"4.39"	"4.5"	"4.03"	"3.66"	"3.41"
"1923"	"3.78"	"4.54"	"5.35"	"5.78"	"5.57"	"4.74"	"4.3"	"4.39"	"4.45"	"4.06"	"3.68"	"3.52"
"1924"	"3.87"	"4.68"	"5.47"	"5.95"	"5.68"	"4.68"	"4.34"	"4.39"	"4.46"	"4.06"	"3.62"	"3.43"
"1925"	"3.86"	"4.59"	"5.43"	"5.91"	"5.51"	"4.68"	"4.37"	"4.39"	"4.54"	"4.03"	"3.61"	"3.44"
"1926"	"3.91"	"4.64"	"5.56"	"5.8"	"5.68"	"4.81"	"4.48"	"4.43"	"4.49"	"4.07"	"3.66"	"3.51"
"1927"	"3.95"	"4.73"	"5.62"	"5.97"	"5.64"	"4.68"	"4.33"	"4.42"	"4.5"	"4.05"	"3.6"	"3.51"
"1928"	"3.93"	"4.64"	"5.46"	"5.91"	"5.71"	"4.73"	"4.4"	"4.38"	"4.55"	"4.05"	"3.64"	"3.46"
"1929"	"3.92"	"4.65"	"5.43"	"5.74"	"5.57"	"4.67"	"4.4"	"4.47"	"4.57"	"4.05"	"3.66"	"3.53"
