
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"17.237"	"17.045"	"17.911"	"21.781"	"22.875"	"23.523"	"23.29"	"23.344"	"23.201"	"22.751"	"20.605"	"17.733"
"1902"	"17.018"	"16.555"	"18.672"	"21.781"	"23.277"	"23.538"	"23.29"	"24.806"	"23.201"	"22.751"	"20.108"	"18.461"
"1903"	"17.018"	"17.089"	"18.572"	"21.874"	"23.243"	"23.529"	"23.29"	"23.344"	"23.201"	"22.751"	"19.373"	"17.286"
"1904"	"15.937"	"16.268"	"17.448"	"21.832"	"21.761"	"22.382"	"23.29"	"23.344"	"23.201"	"22.751"	"19.852"	"18.038"
"1905"	"17.018"	"17.062"	"17.973"	"20.668"	"23.332"	"23.759"	"24.218"	"23.344"	"23.201"	"22.751"	"20.772"	"17.639"
"1906"	"17.018"	"16.933"	"17.877"	"21.885"	"23.332"	"23.523"	"23.32"	"23.344"	"23.173"	"22.751"	"20.616"	"18.461"
"1907"	"17.018"	"17.567"	"18.672"	"20.323"	"23.277"	"23.523"	"23.29"	"23.344"	"23.201"	"22.751"	"20.701"	"18.403"
"1908"	"17.018"	"16.403"	"17.412"	"21.885"	"23.169"	"23.618"	"22.852"	"23.344"	"23.201"	"22.751"	"19.403"	"17.315"
"1909"	"16.87"	"17.567"	"18.672"	"21.146"	"23.263"	"23.066"	"23.348"	"23.344"	"23.201"	"22.751"	"20.068"	"18.413"
"1910"	"17.018"	"16.966"	"17.711"	"21.874"	"23.312"	"23.624"	"23.29"	"23.344"	"23.078"	"22.751"	"19.83"	"17.493"
"1911"	"17.018"	"16.246"	"18.672"	"21.878"	"23.318"	"23.538"	"23.32"	"23.344"	"23.201"	"22.751"	"20.588"	"18.461"
"1912"	"16.931"	"17.567"	"18.672"	"21.781"	"23.318"	"23.78"	"23.39"	"23.344"	"23.201"	"22.751"	"20.513"	"17.533"
"1913"	"16.288"	"17.567"	"18.672"	"21.781"	"23.174"	"23.502"	"23.29"	"23.344"	"23.201"	"22.751"	"20.605"	"18.461"
"1914"	"17.018"	"17.567"	"18.672"	"21.166"	"23.283"	"23.507"	"23.348"	"23.344"	"23.201"	"22.751"	"20.605"	"18.461"
"1915"	"17.018"	"17.009"	"18.672"	"21.885"	"23.338"	"23.544"	"23.32"	"23.344"	"23.201"	"22.751"	"20.692"	"17.739"
"1916"	"16.28"	"17.027"	"17.754"	"21.885"	"23.338"	"22.74"	"23.348"	"23.344"	"23.201"	"22.751"	"20.605"	"17.854"
"1917"	"15.949"	"16.549"	"17.371"	"21.046"	"21.919"	"22.705"	"23.29"	"23.344"	"22.882"	"21.617"	"20.045"	"17.762"
"1918"	"16.696"	"16.369"	"17.509"	"21.13"	"21.766"	"23.558"	"24.683"	"23.344"	"23.187"	"22.751"	"21.395"	"18.433"
"1919"	"17.508"	"17.507"	"18.013"	"21.885"	"23.277"	"23.158"	"23.39"	"23.344"	"23.201"	"22.751"	"20.588"	"18.461"
"1920"	"17.018"	"17.145"	"18.672"	"21.85"	"23.318"	"23.523"	"23.502"	"23.344"	"23.201"	"22.751"	"20.588"	"17.546"
"1921"	"17.018"	"16.881"	"18.672"	"21.828"	"23.359"	"23.601"	"23.29"	"23.344"	"23.201"	"22.751"	"19.709"	"17.781"
"1922"	"17.018"	"16.942"	"18.672"	"21.885"	"23.332"	"23.523"	"23.29"	"23.344"	"23.195"	"22.751"	"20.672"	"17.161"
"1923"	"15.842"	"16.383"	"17.454"	"21.349"	"23.19"	"24.21"	"23.354"	"23.344"	"23.201"	"22.751"	"20.605"	"18.461"
"1924"	"16.758"	"17.567"	"18.672"	"21.781"	"23.283"	"23.624"	"23.32"	"23.344"	"23.201"	"22.751"	"19.67"	"17.92"
"1925"	"16.925"	"16.283"	"18.116"	"21.874"	"22.508"	"23.565"	"23.32"	"23.344"	"23.201"	"22.751"	"20.605"	"17.738"
"1926"	"17.018"	"17.507"	"18.672"	"21.548"	"23.263"	"23.838"	"24.041"	"23.344"	"23.201"	"22.751"	"20.265"	"18.461"
"1927"	"17.018"	"17.507"	"18.672"	"21.85"	"23.243"	"23.624"	"23.34"	"23.344"	"23.201"	"22.751"	"20.038"	"18.461"
"1928"	"17.018"	"17.567"	"18.013"	"21.781"	"23.277"	"23.538"	"23.29"	"23.344"	"23.158"	"22.751"	"20.528"	"18.461"
"1929"	"17.018"	"16.915"	"18.11"	"20.309"	"23.352"	"23.601"	"23.29"	"23.344"	"23.201"	"22.751"	"20.522"	"18.461"
"1930"	"17.01"	"16.667"	"18.672"	"21.885"	"22.566"	"23.523"	"23.34"	"23.344"	"23.201"	"22.751"	"20.23"	"18.461"
"1931"	"17.01"	"17.567"	"18.672"	"21.797"	"23.283"	"23.522"	"23.39"	"23.344"	"23.217"	"22.751"	"20.279"	"18.461"
"1932"	"15.927"	"16.46"	"17.486"	"21.781"	"22.598"	"23.607"	"23.29"	"23.344"	"23.201"	"22.751"	"20.672"	"18.461"
"1933"	"17.018"	"17.567"	"17.927"	"21.48"	"21.683"	"22.159"	"23.406"	"23.344"	"23.201"	"22.213"	"20.588"	"18.355"
"1934"	"16.946"	"16.29"	"17.469"	"21.739"	"23.318"	"23.424"	"23.29"	"23.344"	"23.201"	"22.751"	"19.329"	"17.723"
"1935"	"16.971"	"17.247"	"18.672"	"21.206"	"23.283"	"23.472"	"23.39"	"23.344"	"23.035"	"22.751"	"19.329"	"18.461"
"1936"	"17.018"	"17.19"	"17.838"	"21.874"	"23.352"	"22.75"	"23.328"	"23.344"	"23.201"	"22.751"	"20.588"	"18.461"
"1937"	"16.996"	"17.507"	"18.672"	"21.446"	"23.352"	"23.601"	"23.29"	"23.344"	"23.201"	"22.751"	"20.605"	"18.396"
"1938"	"17.018"	"17.567"	"18.672"	"21.781"	"23.283"	"22.605"	"23.406"	"23.344"	"23.201"	"22.027"	"19.947"	"18.461"
"1939"	"17.01"	"16.346"	"17.448"	"21.348"	"23.318"	"23.624"	"23.29"	"23.344"	"23.201"	"22.751"	"19.782"	"18.408"
"1940"	"15.743"	"16.29"	"18.139"	"20.387"	"23.332"	"23.523"	"23.29"	"23.344"	"23.201"	"22.751"	"20.674"	"18.461"
"1941"	"17.018"	"17.567"	"18.672"	"21.797"	"23.352"	"23.538"	"23.348"	"23.344"	"23.201"	"22.751"	"20.791"	"18.536"
"1942"	"16.966"	"17.507"	"18.672"	"21.85"	"23.318"	"23.523"	"23.39"	"23.344"	"23.13"	"22.751"	"20.786"	"18.461"
"1943"	"17.018"	"16.645"	"18.103"	"21.781"	"21.857"	"22.726"	"23.29"	"23.344"	"22.022"	"21.252"	"19.814"	"18.351"
"1944"	"17.018"	"16.891"	"17.359"	"20.69"	"23.318"	"23.53"	"23.384"	"23.344"	"23.217"	"22.751"	"20.572"	"18.461"
"1945"	"16.979"	"17.089"	"18.672"	"20.766"	"23.283"	"23.601"	"23.29"	"23.344"	"23.201"	"22.751"	"19.777"	"18.456"
"1946"	"15.898"	"16.645"	"18.672"	"21.781"	"23.246"	"23.024"	"23.29"	"23.344"	"23.201"	"22.751"	"20.844"	"18.461"
"1947"	"17.018"	"16.867"	"18.672"	"20.916"	"23.352"	"23.523"	"23.34"	"23.344"	"23.201"	"22.237"	"20.179"	"18.461"
"1948"	"17.018"	"17.545"	"18.672"	"21.781"	"23.169"	"23.564"	"23.29"	"23.344"	"23.201"	"22.751"	"20.588"	"18.02"
"1949"	"16.931"	"16.906"	"18.672"	"21.797"	"22.765"	"22.665"	"23.29"	"23.344"	"23.201"	"22.751"	"19.904"	"17.347"
"1950"	"16.963"	"16.832"	"18.11"	"21.885"	"23.318"	"23.523"	"23.29"	"23.344"	"23.201"	"22.74"	"19.787"	"18.413"
"1951"	"17.018"	"16.456"	"18.672"	"21.874"	"23.338"	"23.607"	"23.32"	"23.344"	"23.201"	"22.751"	"20.772"	"18.179"
"1952"	"17.018"	"17.567"	"18.672"	"21.781"	"23.277"	"23.523"	"23.328"	"23.344"	"23.201"	"22.751"	"19.803"	"18.461"
"1953"	"17.018"	"17.567"	"20.285"	"21.322"	"23.536"	"23.782"	"23.29"	"23.344"	"23.201"	"22.751"	"20.286"	"18.213"
"1954"	"17.018"	"17.572"	"18.672"	"21.781"	"23.277"	"23.624"	"23.32"	"23.344"	"23.03"	"22.15"	"19.388"	"18.461"
"1955"	"17.018"	"17.567"	"18.672"	"21.839"	"21.691"	"23.601"	"23.346"	"22.084"	"23.201"	"22.751"	"19.687"	"17.239"
"1956"	"17.018"	"16.508"	"18.672"	"21.858"	"22.047"	"22.385"	"21.796"	"23.344"	"23.147"	"21.673"	"20.786"	"18.461"
"1957"	"17.018"	"17.551"	"17.455"	"20.675"	"23.318"	"23.523"	"23.348"	"23.344"	"23.201"	"22.751"	"20.605"	"18.461"
"1958"	"17.018"	"17.567"	"18.672"	"21.885"	"23.26"	"24.442"	"23.32"	"23.344"	"23.201"	"22.751"	"20.605"	"18.461"
"1959"	"17.018"	"17.507"	"18.672"	"21.885"	"23.352"	"23.424"	"23.384"	"23.344"	"23.201"	"22.751"	"20.786"	"18.461"
"1960"	"17.018"	"17.072"	"18.672"	"21.781"	"23.194"	"23.523"	"23.32"	"23.344"	"23.178"	"22.751"	"20.605"	"18.461"
"1961"	"17.018"	"17.567"	"18.672"	"21.874"	"23.26"	"23.523"	"22.968"	"23.344"	"23.195"	"22.751"	"20.291"	"18.461"
"1962"	"16.878"	"17.089"	"18.672"	"21.214"	"23.006"	"23.622"	"23.32"	"23.344"	"23.201"	"22.751"	"20.279"	"18.456"
"1963"	"17.012"	"16.607"	"18.672"	"20.466"	"23.338"	"23.201"	"23.348"	"23.344"	"23.201"	"22.751"	"20.605"	"18.461"
"1964"	"17.018"	"17.567"	"18.672"	"22.224"	"23.479"	"23.439"	"23.29"	"23.351"	"23.147"	"22.751"	"19.337"	"17.976"
"1965"	"17.018"	"17.567"	"18.672"	"21.546"	"23.169"	"23.507"	"23.29"	"23.344"	"23.201"	"22.819"	"20.588"	"18.461"
"1966"	"17.018"	"17.567"	"18.672"	"21.885"	"23.26"	"23.424"	"23.39"	"24.167"	"23.201"	"22.751"	"20.931"	"18.461"
"1967"	"17.018"	"17.567"	"18.672"	"21.885"	"23.243"	"23.523"	"23.32"	"23.344"	"23.217"	"22.751"	"20.572"	"18.461"
"1968"	"17.018"	"17.149"	"18.672"	"21.341"	"23.263"	"23.523"	"23.199"	"23.434"	"23.201"	"22.751"	"20.588"	"18.461"
"1969"	"17.018"	"17.572"	"18.672"	"21.878"	"23.169"	"23.908"	"23.29"	"23.344"	"23.201"	"22.751"	"20.808"	"18.461"
"1970"	"17.018"	"17.567"	"18.237"	"21.832"	"23.318"	"23.207"	"23.406"	"23.344"	"23.201"	"22.751"	"20.23"	"17.182"
"1971"	"17.018"	"17.012"	"18.365"	"21.797"	"23.067"	"22.476"	"23.151"	"23.344"	"23.201"	"22.266"	"20.42"	"17.209"
"1972"	"15.842"	"17.122"	"18.002"	"21.832"	"22.674"	"23.709"	"23.29"	"23.836"	"23.201"	"22.777"	"20.605"	"18.508"
"1973"	"17.04"	"18.428"	"18.672"	"22.188"	"23.318"	"23.538"	"24.053"	"23.344"	"23.201"	"22.751"	"20.161"	"18.461"
"1974"	"17.018"	"17.324"	"17.917"	"21.934"	"23.169"	"23.472"	"23.32"	"23.344"	"23.201"	"22.751"	"20.002"	"17.681"
"1975"	"17.018"	"17.567"	"18.672"	"21.832"	"23.249"	"23.507"	"23.328"	"23.344"	"22.625"	"22.751"	"19.48"	"17.678"
"1976"	"15.898"	"16.346"	"18.149"	"21.053"	"23.352"	"23.538"	"23.32"	"22.344"	"23.201"	"22.751"	"21.491"	"18.88"
"1977"	"17.018"	"17.572"	"19.49"	"21.781"	"23.304"	"23.538"	"23.32"	"23.344"	"23.201"	"22.751"	"21.187"	"18.461"
"1978"	"17.018"	"17.089"	"18.672"	"21.874"	"23.352"	"22.484"	"23.32"	"23.344"	"23.201"	"22.751"	"21.129"	"18.461"
