
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"0.9999"	"1.2347"	"0.4648"	"1.9712"	"4.7063"	"4.8832"	"5.4931"	"4.5019"	"8.5009"	"6.8193"	"4.3302"	"1.8752"
"1902"	"0.8644"	"0.1467"	"1.3401"	"2.7908"	"6.4087"	"4.6009"	"7.3162"	"5.0144"	"6.7616"	"10.9158"	"3.2952"	"3.6953"
"1903"	"0.0293"	"0.044"	"0"	"1.8182"	"8.2948"	"5.0985"	"7.492"	"7.4294"	"9.3622"	"9.3906"	"6.5308"	"2.2096"
"1904"	"0.9833"	"0"	"0.3078"	"2.8314"	"6.8602"	"4.4987"	"8.1342"	"3.7487"	"4.9785"	"7.6224"	"0.8289"	"0.8954"
"1905"	"0.9999"	"0.6161"	"1.4443"	"3.0436"	"5.8917"	"4.7978"	"5.1648"	"6.6903"	"4.959"	"9.9884"	"2.9315"	"0.8368"
"1906"	"0.9999"	"0.8844"	"1.0521"	"1.4608"	"4.0345"	"5.4651"	"7.8506"	"10.0532"	"7.1458"	"7.9628"	"2.6801"	"2.6143"
"1907"	"0.9999"	"0"	"1.8761"	"5.1833"	"3.7915"	"5.6069"	"6.7515"	"6.3418"	"9.1852"	"5.5505"	"4.0595"	"2.0909"
"1908"	"0.7787"	"1.1206"	"1.8597"	"1.3349"	"5.8191"	"2.7942"	"6.5174"	"4.8731"	"6.8283"	"8.9948"	"1.285"	"0.8793"
"1909"	"0.9999"	"0.0954"	"0.3078"	"5.337"	"8.781"	"4.7298"	"6.3"	"9.2698"	"7.3494"	"6.5834"	"2.7402"	"0.9705"
"1910"	"0"	"0.561"	"0.8969"	"2.1585"	"5.2919"	"4.9442"	"9.309"	"8.4395"	"5.6049"	"9.9662"	"4.486"	"0.2182"
"1911"	"0.0587"	"0.0734"	"1.4794"	"2.4731"	"6.5165"	"6.3425"	"8.076"	"4.0932"	"6.3878"	"8.2678"	"4.0964"	"1.544"
"1912"	"0.7799"	"0.8745"	"1.3455"	"1.2116"	"5.712"	"4.7769"	"6.9017"	"5.573"	"7.826"	"9.3543"	"4.6118"	"0.2329"
"1913"	"0"	"0"	"0.7388"	"2.2976"	"5.3066"	"2.5437"	"7.5935"	"4.4476"	"6.6131"	"6.7837"	"2.223"	"1.7138"
"1914"	"0.7942"	"0.5237"	"0.6948"	"5.3615"	"5.2472"	"3.9587"	"5.8474"	"5.8232"	"8.4622"	"7.7224"	"2.7782"	"2.5685"
"1915"	"0.8007"	"0.4744"	"1.9433"	"2.1823"	"5.7561"	"5.8624"	"6.1875"	"4.83"	"8.4157"	"4.798"	"5.1436"	"1.1327"
"1916"	"0"	"0.0587"	"0"	"1.5261"	"7.0455"	"3.5733"	"8.6928"	"7.67"	"6.8246"	"8.9352"	"4.6121"	"1.0915"
